age,Q_trop_high,Q_trop_mid,Q_trop_low,Q_stra_high,Q_stra_mid,Q_stra_low,EDML,GRIP
6100,0.506112202,0.513729652,0.254443989,2.035012781,0.936471895,0.080976185,3.867367237,4.404550037
6120,0.485125268,0.499116535,0.252118265,1.920363968,0.899316509,0.080185838,4.183824832,4.690349854
6140,0.46337869,0.48367581,0.249576848,1.803715443,0.860628565,0.07932286,4.327504132,4.321005385
6160,0.545342186,0.542128666,0.260334487,2.257294034,1.00935996,0.083042517,4.292963329,4.593151233
6180,0.577096456,0.563937199,0.264215515,2.442391837,1.066915666,0.084393611,4.402470723,5.185938852
6200,0.534063349,0.535029645,0.259624557,2.19252791,0.990327133,0.082812898,4.58016646,4.842897204
6220,0.483788792,0.499522995,0.253344531,1.913084829,0.899465067,0.080646495,4.572446339,4.118983838
6240,0.504183429,0.514098733,0.255939065,2.024507396,0.936333338,0.081539242,4.379473214,4.208131863
6260,0.596761324,0.576739521,0.266231033,2.562136203,1.10189474,0.085093008,4.290828215,5.020728947
6280,0.611341137,0.585889025,0.267423957,2.650906247,1.127120862,0.085499169,4.684324262,5.179518602
6300,0.535598654,0.535277933,0.259032234,2.201328898,0.991510787,0.082587668,5.239967993,4.720226541
6320,0.46753099,0.486525354,0.249915999,1.82543564,0.867733817,0.079432069,5.034446374,4.607300748
6340,0.449865775,0.472887325,0.24686023,1.733009,0.834712784,0.078368195,4.491711485,4.502498388
6360,0.461750458,0.481294783,0.248104349,1.795179774,0.85550758,0.07878231,4.155263647,4.112236807
6380,0.517348735,0.520789551,0.254954018,2.096474078,0.954894607,0.081125866,4.125506197,4.355766818
6400,0.513862818,0.517842404,0.254042534,2.077328577,0.947713409,0.080799049,4.406429856,4.429197852
6420,0.472764102,0.48819602,0.24834436,1.852800419,0.873109692,0.078826685,4.74676012,4.331089104
6440,0.481887179,0.49425904,0.249080237,1.902632417,0.88869254,0.079067805,4.567462157,4.649190612
6460,0.474894212,0.488917674,0.247792932,1.864424779,0.875453742,0.078614152,4.096333688,4.232727808
6480,0.487101546,0.497205863,0.248975645,1.931105315,0.896615168,0.0790103,3.984360976,4.425250365
6500,0.465914508,0.481661385,0.245825043,1.816923832,0.85801002,0.077918362,4.03663786,4.158775603
6520,0.449553868,0.46930835,0.243199608,1.731331202,0.828027256,0.077009781,4.126367788,4.255828389
6540,0.472261496,0.485852416,0.246211606,1.850119767,0.868525542,0.078035981,4.036244339,4.321010982
